obs_file,full_path,obs_datetime,datetime_source,match_id,game_time,mech,round,game,map,confidence,match_status,notes
M1 BenUpsVsBPL.mkv,G:\Videos\aasecond wave\M1 BenUpsVsBPL.mkv,2026-02-21 20:16:04,metadata,29001390907328,2026-02-22 02:12:00,JVN-11F,1,1,Polar Highlands,medium,auto_matched,comp_date=2026-02-21; window_score=16.53; candidate_videos=6; matched using metadata timestamp with extra same-day videos present
M2 BenUpsVsBPL.mkv,G:\Videos\aasecond wave\M2 BenUpsVsBPL.mkv,2026-02-21 20:24:26,metadata,29237614109941,2026-02-22 02:24:00,BSK-6CS,1,2,Hibernal Rift,medium,auto_matched,comp_date=2026-02-21; window_score=16.53; candidate_videos=6; matched using metadata timestamp with extra same-day videos present
M3 BenUpsVsBPL.mkv,G:\Videos\aasecond wave\M3 BenUpsVsBPL.mkv,2026-02-21 20:35:43,metadata,29164599665329,2026-02-22 02:36:00,JVN-11F,1,3,Hibernal Rift,medium,auto_matched,comp_date=2026-02-21; window_score=16.53; candidate_videos=6; matched using metadata timestamp with extra same-day videos present
M4 BenUpsVsBPL.mkv,G:\Videos\aasecond wave\M4 BenUpsVsBPL.mkv,2026-02-21 20:47:10,metadata,29486722214436,2026-02-22 02:47:00,ON1-M,1,4,Bearclaw II,medium,auto_matched,comp_date=2026-02-21; window_score=16.53; candidate_videos=6; matched using metadata timestamp with extra same-day videos present
M5 BenUpsVsBPL.mkv,G:\Videos\aasecond wave\M5 BenUpsVsBPL.mkv,2026-02-21 20:59:37,metadata,29482427247125,2026-02-22 02:59:00,ON1-M,1,5,Bearclaw II,medium,auto_matched,comp_date=2026-02-21; window_score=16.53; candidate_videos=6; matched using metadata timestamp with extra same-day videos present
2026-02-21 20-08-24.mkv,G:\Videos\aasecond wave\2026-02-21 20-08-24.mkv,2026-02-21 20:08:24,filename,,,,,,,,extra_unmatched,comp_date=2026-02-21; left unmatched as extra same-day recording
2026-02-28 20-04-32.mkv,G:\Videos\aasecond wave\2026-02-28 20-04-32.mkv,2026-02-28 20:04:32,filename,79961178477538,2026-03-01 02:09:00,JVN-11F,2,1,Bearclaw II,high,auto_matched,comp_date=2026-02-28; window_score=3.27; candidate_videos=5; strong chronological alignment
2026-02-28 20-16-22.mkv,G:\Videos\aasecond wave\2026-02-28 20-16-22.mkv,2026-02-28 20:16:22,filename,80137272137626,2026-03-01 02:21:00,OSR-4D,2,2,Polar Highlands,high,auto_matched,comp_date=2026-02-28; window_score=3.27; candidate_videos=5; strong chronological alignment
2026-02-28 20-28-51.mkv,G:\Videos\aasecond wave\2026-02-28 20-28-51.mkv,2026-02-28 20:28:51,filename,80592538673759,2026-03-01 02:34:00,OSR-4D,2,3,Polar Highlands,high,auto_matched,comp_date=2026-02-28; window_score=3.27; candidate_videos=5; strong chronological alignment
2026-02-28 20-40-20.mkv,G:\Videos\aasecond wave\2026-02-28 20-40-20.mkv,2026-02-28 20:40:20,filename,80506639327317,2026-03-01 02:46:00,BSK-6CS,2,4,Hibernal Rift,high,auto_matched,comp_date=2026-02-28; window_score=3.27; candidate_videos=5; strong chronological alignment
