Rank ▾,Percentile,Pilot Name,Games Played,W/L Ratio,Survive Rate,K/D Ratio,Average Score,Adjusted Score,Progress,Light,Medium,Heavy,Assault
103,99.48%,Saikyou [-EQ-],15595,2.53,50%,2.65,377,383,-4%,4%,10%,30%,55%
99,99.50%,a6bc,4635,1.21,42%,1.89,334,385,71%,21%,18%,25%,30%
97,99.51%,GweNTLeR [EVIL],11712,1.7,42%,2.55,380,386.2,7%,8%,22%,41%,25%
96,99.52%,Tiy0s [ABIN],8230,2.38,40%,2.31,374,386.5,34%,16%,22%,22%,34%
95,99.52%,Black Caiman [SRoT],43362,1.43,50%,3.25,366,386.5,31%,14%,36%,26%,25%
92,99.54%,Dr Cara Carcass,5651,1.6,52%,2.38,390,387.2,-1%,2%,62%,20%,12%
90,99.55%,Yami No Tenshi [228R],3527,1.87,41%,2.27,392,387.4,,7%,23%,21%,45%
84,99.58%,Shineplasma [AMR],6844,1.79,47%,2.32,368,389.3,,26%,23%,24%,23%
78,99.61%,PeteZonee [C-XF],9277,2.25,52%,3.14,382,393.3,8%,3%,14%,43%,35%
76,99.62%,Cephylist [256],4246,1.39,34%,1.75,368,394.6,30%,7%,51%,20%,12%
75,99.62%,Yorshka [228R],10327,2.01,45%,2.75,391,394.9,,4%,9%,19%,64%
71,99.64%,Bows3r [ABIN],28966,3.67,55%,3.94,410,398.7,-4%,10%,14%,29%,45%
66,99.67%,Nonu [JINX],39151,1.58,48%,2.95,389,404,4%,13%,25%,27%,34%
65,99.67%,Da Red Goes DA FASTA [EON],4258,2.78,56%,3.79,394,404.4,2%,27%,19%,25%,22%
62,99.69%,1e0n,15984,2.35,54%,3.29,407,405.5,1%,18%,22%,18%,41%
60,99.70%,Monarch 6-4 [FJRD],7423,1.88,37%,2.06,401,406,9%,15%,15%,18%,51%
56,99.72%,A r z a c h [1-FR],5679,1.81,46%,2.48,388,407.9,25%,13%,18%,20%,47%
52,99.74%,Bassault [-EQ-],12683,3.22,53%,3.66,427,414.8,1%,1%,2%,3%,92%
51,99.75%,Extra_Better,10567,2.47,56%,3.14,405,415.2,-7%,15%,34%,28%,22%
45,99.78%,pald84,7768,2.06,49%,2.72,402,418.6,3%,3%,56%,16%,23%
44,99.78%,NeirSolon,13508,1.6,56%,3.19,395,420.5,-1%,25%,37%,33%,2%
36,99.82%,Lurm God [JGx],14731,2.06,39%,2.19,404,426.5,35%,7%,15%,25%,49%
35,99.83%,GeeRam [-EQ-],22481,2.37,47%,2.88,412,429.6,19%,10%,16%,25%,49%
33,99.84%,-jbv-,1190,1.7,45%,2.66,406,434.8,-11%,79%,3%,0%,6%
31,99.85%,Jiffy [JGx],30348,2.71,63%,5.11,415,435.5,16%,9%,9%,33%,47%
29,99.86%,HydroKyle240 [(ME)],8451,2.78,61%,3.74,409,438.7,9%,7%,41%,35%,15%
24,99.88%,KIPPERS [V1LE],6476,2.05,53%,3.57,414,440.3,16%,16%,12%,24%,44%
22,99.89%,Jay Z [228R],19010,2.6,40%,2.49,436,444.3,25%,12%,15%,17%,53%
21,99.90%,Cpt Leprechaun [V1LE],8175,3.26,63%,4.45,433,446.8,19%,11%,10%,31%,43%
13,99.94%,Xephron,7222,2.17,52%,3.08,425,464.6,17%,23%,14%,38%,23%
10,99.95%,dario03 [JGx],10508,2.47,61%,4.66,424,472.5,21%,59%,7%,9%,20%
5,99.98%,Hat [ABIN],4520,4.92,61%,4.63,512,507.3,-2%,14%,24%,13%,49%
3,99.99%,Logic Prime,9644,2.38,57%,3.56,515,508.8,2%,2%,34%,25%,39%
