Rank ▾,Percentile,Pilot Name,Games Played,W/L Ratio,Survive Rate,K/D Ratio,Average Score,Adjusted Score,Progress,Light,Medium,Heavy,Assault
8769,55%,ShangguanJiner [ICOB],3827,1.02,36%,0.97,220,237.4,10%,15%,18%,45%,19%
8751,55%,Von Pinn [SPNC],5177,1,30%,0.92,217,237.5,5%,19%,15%,40%,19%
8625,56%,bLuESeRoS [256],11029,0.97,26%,0.92,244,237.9,,14%,29%,25%,28%
8510,57%,HedgehogBC [BPL],3765,1.01,22%,0.75,233,238.4,13%,12%,19%,31%,25%
8484,57%,Pondafarr [CWM],20427,0.96,19%,0.63,229,238.5,8%,12%,23%,31%,33%
8301,58%,Maverick2020 [256],24354,0.99,25%,0.78,222,239.2,8%,2%,31%,53%,13%
8196,58%,Poggle,8343,1.02,30%,1.05,230,239.6,-20%,12%,19%,29%,35%
8060,59%,hoodiebenny,849,1.12,28%,1.09,236,240.2,,20%,11%,23%,27%
8039,59%,SavaShip [CDU],8797,0.97,27%,0.84,245,240.2,-11%,1%,43%,34%,20%
8008,59%,Tetatae Exchange Student [BPL],1411,1.02,20%,0.81,240,240.3,-18%,15%,22%,21%,24%
8001,59%,GunRaptor [MGSq],8405,1.11,28%,0.85,233,240.4,4%,15%,25%,27%,31%
7880,60%,GrooveRyder,4750,0.97,27%,0.87,242,240.8,-7%,6%,16%,38%,40%
7837,60%,WOLF TooGoooD,7591,0.97,30%,1.04,238,241,-1%,5%,12%,14%,69%
7799,60%,STI_Leopard,3436,1.06,25%,1,242,241.2,-5%,16%,30%,23%,29%
7791,60%,wBlazer15,1722,1.08,22%,0.89,241,241.2,,14%,18%,26%,31%
7781,60%,Ghost of Eden,341,0.89,33%,1.18,266,241.3,-13%,3%,40%,41%,7%
7728,61%,GIJimmy41 [SBRS],17104,0.96,25%,0.9,238,241.5,-12%,6%,29%,44%,19%
7700,61%,MalYaska,1525,1.12,24%,0.75,242,241.6,-5%,14%,6%,23%,49%
7586,61%,Oozie Man,4324,0.93,33%,0.98,237,242,-6%,7%,36%,41%,13%
7414,62%,Swinathedad,2381,0.95,33%,0.82,238,242.6,-6%,20%,23%,55%,1%
7365,63%,xxleduc93xx,1278,0.84,25%,0.85,245,242.8,-6%,0%,6%,22%,67%
7334,63%,DC Ryoshun,15406,1,30%,0.99,247,242.9,-2%,4%,17%,45%,33%
7252,63%,mytilus edulis,17788,1.07,32%,1.28,244,243.2,12%,11%,23%,31%,34%
7144,64%,MasterPig [CDU],6651,1.1,33%,1.55,234,243.6,31%,23%,19%,19%,32%
7084,64%,RangerS09,21501,0.89,24%,0.64,231,243.9,5%,4%,12%,28%,54%
7060,64%,Nitemox [BTD],16183,1.01,34%,0.92,230,244,-6%,15%,50%,23%,10%
7034,64%,Jeff on a Buffalo,9468,0.93,30%,0.73,245,244,-1%,23%,34%,27%,12%
6971,65%,Skroggles [CDU],19638,1.13,29%,1.16,245,244.3,2%,12%,18%,27%,42%
6937,65%,Hamster AKA Bird,272,1.03,26%,0.95,294,244.5,5%,0%,24%,16%,44%
6923,65%,NuKe170,6671,0.99,25%,1.02,225,244.5,14%,13%,20%,29%,34%
6911,65%,GhostSeeker [AW],4252,1.13,23%,0.89,237,244.6,,7%,8%,45%,29%
6790,65%,Frankenstein27 [SRoT],2563,1.03,38%,1.37,244,245,16%,6%,8%,8%,71%
6682,66%,lorddrakewater [FJRD],3396,1.07,24%,0.94,247,245.4,-2%,14%,17%,19%,44%
6593,66%,Nikkolay,2720,1.06,21%,0.82,239,245.7,-4%,20%,22%,23%,28%
6588,66%,Floybin [CR1T],13331,0.91,31%,1.02,230,245.7,1%,19%,26%,34%,19%
6578,67%,RacerX [BP],6723,0.94,31%,1.11,241,245.7,-2%,7%,13%,52%,19%
6527,67%,RedHerring [BP],10134,0.94,31%,1.01,230,245.9,5%,12%,29%,42%,13%
6493,67%,Jitszu,1360,1.04,32%,1.08,242,246,18%,22%,13%,52%,10%
6441,67%,Doomed Musician,822,1.12,24%,0.93,253,246.2,17%,3%,8%,16%,64%
6328,68%,Tarnc [228],1742,0.98,27%,0.85,248,246.6,9%,7%,42%,28%,14%
6268,68%,Manikin Fartwalker,2502,1.06,35%,1.29,245,246.9,17%,23%,19%,18%,36%
6263,68%,Byrdkiller [AW],12497,0.88,29%,0.87,237,246.9,6%,10%,26%,37%,23%
6219,68%,Enty_,3155,1.12,24%,0.85,244,247.1,,29%,20%,12%,34%
6197,68%,Choco Lab,7471,0.86,24%,0.98,258,247.2,-11%,1%,4%,17%,78%
6146,69%,Jerimiah Youngblood,12634,1,34%,1.09,248,247.4,-3%,8%,45%,18%,29%
6144,69%,Drake67,2488,0.97,28%,0.94,241,247.4,,8%,14%,36%,30%
6050,69%,MechEnt,8489,1,30%,0.89,239,247.7,10%,16%,37%,21%,23%
5945,70%,GetLuckyGhoul,3230,1.04,25%,0.79,245,248.1,0%,21%,19%,33%,22%
5823,70%,Shotgunfist [C-XF],8001,1.38,31%,0.97,244,248.5,-2%,7%,23%,28%,37%
5815,70%,Fear is the mind killer [BP],5791,0.97,30%,0.9,244,248.5,62%,19%,48%,20%,11%
5666,71%,HeinousUranus,777,1.14,19%,0.83,253,249.1,7%,10%,17%,23%,47%
5616,71%,JonNoren,5968,0.99,26%,0.83,248,249.3,3%,17%,22%,27%,32%
5612,71%,lazyhate101,5611,1.01,29%,1.08,234,249.3,36%,29%,22%,24%,19%
5536,72%,Maxmawr [ATUN],1259,1.11,26%,0.87,241,249.6,-5%,45%,15%,10%,21%
5535,72%,Dylan Pickles,4233,0.93,29%,1.08,251,249.6,-14%,1%,21%,10%,63%
5519,72%,Rosa Terica,1793,1.2,34%,1.09,252,249.7,,7%,21%,35%,34%
5485,72%,BloodySpleen [CDU],14196,0.99,29%,0.88,241,249.9,10%,14%,41%,29%,14%
5418,72%,Hrunting [SRoT],7910,1.1,33%,1.14,243,250.2,2%,10%,56%,17%,9%
5346,73%,Terran123rd,4782,0.94,26%,1.08,245,250.5,-6%,23%,23%,32%,17%
5333,73%,BlitzWarrior888,2384,1,31%,0.93,255,250.5,-17%,5%,18%,33%,35%
5209,74%,Ciderstien [WMK],3626,1,34%,0.94,243,251,9%,22%,43%,18%,13%
5199,74%,Scrappy Metal Can [2d20],10209,1.05,27%,0.78,244,251,,35%,25%,22%,17%
5155,74%,Jexvrok [SRoT],9798,1.08,36%,1.24,248,251.2,-16%,11%,30%,34%,23%
5039,74%,freeriderau [C-XF],9859,1.22,31%,1.16,255,251.7,12%,24%,25%,30%,17%
5014,75%,SaberXtorm [256],1322,0.99,30%,0.95,247,251.8,,12%,26%,28%,25%
4897,75%,Drenzul,6019,1.05,28%,0.85,256,252.4,1%,8%,6%,36%,46%
4699,76%,Wishlist1,981,0.97,28%,0.92,246,253.3,21%,22%,18%,10%,24%
4694,76%,AcidAngel501,5334,1,27%,0.94,258,253.4,-8%,1%,10%,48%,38%
4582,77%,XI584 [228H],2849,1.01,34%,1.17,257,253.9,-5%,5%,16%,47%,32%
4511,77%,Jarathi,1695,1.07,31%,0.88,243,254.2,3%,48%,35%,12%,5%
4499,77%,Stew101 [KCom],4072,1.81,30%,1.23,271,254.3,-18%,2%,24%,40%,25%
4465,77%,kodiakbs [AW],4698,1.15,26%,0.88,253,254.4,,20%,15%,25%,33%
4429,77%,Swamp Fox II,12214,1.06,34%,1.02,238,254.6,13%,23%,35%,21%,20%
4351,78%,raptorian,6141,1.04,30%,1.1,262,255,18%,7%,11%,23%,57%
4315,78%,Sniperman672 [SRoT],4911,0.98,31%,1.24,257,255.2,22%,8%,10%,17%,57%
4279,78%,Lokendak,702,1.01,29%,1.02,254,255.3,-1%,8%,30%,28%,11%
4249,78%,speedyspeedyboy [ATUN],1651,1.13,29%,1.19,250,255.4,-3%,35%,22%,8%,29%
4236,78%,Hieu61,7460,1.04,29%,0.96,262,255.5,,7%,15%,19%,57%
4169,79%,Viola,2414,1.01,27%,1.05,230,255.9,10%,71%,2%,3%,21%
4016,80%,Slowth [KCom],5797,1.35,35%,1.09,233,256.7,8%,20%,26%,39%,10%
4002,80%,Jags37,831,1.06,29%,0.92,259,256.7,-3%,10%,38%,23%,23%
3994,80%,SorbP,1355,1.27,31%,1.22,263,256.8,-9%,19%,25%,26%,27%
3874,80%,Ragnahawk [G'C],4763,1.69,42%,2.48,292,257.3,-19%,18%,55%,8%,13%
3862,80%,Blaizakaros,19075,1.08,30%,0.94,248,257.4,9%,24%,29%,25%,21%
3857,80%,SirHavan [SRoT],14487,1.05,28%,0.73,234,257.4,19%,35%,26%,23%,13%
3818,81%,Tactic00l Tuna Fish [BPL],1906,1.07,24%,1.01,248,257.6,-19%,39%,16%,23%,6%
3761,81%,Alena Flame,1415,1.32,34%,1.47,253,257.9,-4%,25%,15%,42%,11%
3693,81%,HalflightAgent [ATUN],1340,1.13,26%,0.86,251,258.3,18%,36%,15%,28%,16%
3688,81%,Bosstralia,2187,1.14,38%,1.43,256,258.3,2%,50%,20%,18%,10%
3675,81%,IvanTheTerrible1,2846,1.23,35%,1.24,259,258.4,-3%,8%,19%,38%,27%
3616,82%,Soundbust 11,2911,1.09,30%,1,263,258.7,,9%,5%,18%,61%
3608,82%,Lowendofthings,5745,1.05,27%,0.9,255,258.7,13%,22%,16%,20%,41%
3543,82%,M4maFoox,1710,1.19,29%,1,243,259.1,2%,67%,14%,13%,2%
3432,83%,TheodoreTWyvrun,952,1.1,38%,1.39,258,259.9,14%,17%,39%,20%,14%
3418,83%,historicgamer,4774,0.99,28%,0.83,252,260,,21%,22%,24%,27%
3398,83%,King Mufasa [CWM],27967,0.94,34%,1.11,253,260.1,3%,11%,29%,24%,36%
3362,83%,CorranHuss,2384,1.12,25%,0.93,252,260.4,27%,39%,26%,22%,4%
3344,83%,H3lix_,890,1.1,33%,1.29,258,260.6,-14%,26%,19%,18%,21%
3333,83%,Itsduhkraken,554,0.95,38%,1.13,272,260.6,,0%,11%,46%,43%
3264,83%,NolRinela [-99-],2109,1.05,27%,0.87,246,261.1,15%,43%,28%,16%,5%
3228,84%,Shadowhunter74,2665,0.96,25%,0.85,244,261.4,12%,7%,20%,35%,23%
3196,84%,Thunderwyrm [WMK],10196,0.92,31%,1.07,238,261.6,3%,26%,36%,23%,14%
3180,84%,Shaunbomb [FJRD],6379,1.09,26%,0.88,267,261.8,-16%,7%,15%,27%,50%
3169,84%,JFrIend [CDU],21032,1.01,35%,0.93,241,262,13%,49%,26%,15%,10%
3093,84%,Falkenhayn [BTD],20717,1.25,35%,1.12,278,262.4,-14%,1%,6%,64%,28%
3069,84%,Sevronis [SRoT],5929,1.18,34%,1.16,239,262.6,,13%,11%,31%,39%
3066,84%,Kaiju-Killer,3580,1.17,34%,1.57,261,262.6,10%,9%,21%,19%,46%
3026,85%,Alfa Strike [FJRD],6713,1.11,27%,0.86,251,262.9,-2%,21%,27%,30%,18%
2977,85%,SaBukreic,5350,1,31%,0.94,248,263.3,-10%,45%,33%,10%,7%
2911,85%,Call me Yoshi [WMK],1805,1.04,31%,1.18,265,263.8,-7%,1%,20%,62%,11%
2801,86%,Dutch Bear of WI [DS-F],6636,1.11,33%,1,247,264.7,0%,68%,12%,9%,7%
2749,86%,Xyco [256],36490,1.05,39%,1.45,267,265.1,-6%,31%,23%,25%,21%
2734,86%,NubyaTheRealtor,2523,0.97,27%,0.91,261,265.3,8%,34%,18%,17%,29%
2723,86%,TheCatequil,2198,1.03,25%,0.99,264,265.3,,20%,7%,16%,47%
2694,86%,RatJunkie [228H],6928,1.08,30%,0.99,267,265.6,7%,15%,13%,26%,45%
2689,86%,terryflap,1334,1.24,34%,1.35,261,265.6,-3%,28%,17%,27%,19%
2632,87%,Mercu,6255,0.9,33%,0.96,233,266.1,,12%,18%,39%,25%
2621,87%,Lucius Tatus,2772,1.18,29%,1,274,266.2,5%,1%,14%,24%,56%
2560,87%,Rhavii [FJRD],21059,1,34%,1.16,254,266.8,9%,25%,14%,20%,40%
2549,87%,realmruler [FJRD],4886,1.11,32%,1.2,249,266.9,-10%,28%,21%,24%,23%
2527,87%,Pincode05 [ATUN],4012,1.07,29%,1.36,269,267.1,7%,14%,9%,26%,48%
2507,87%,bowman08,2037,1.01,29%,1.53,263,267.4,2%,24%,24%,28%,21%
2441,88%,Haji1096 [BTD],11650,1.26,36%,1.29,262,267.9,0%,24%,32%,30%,10%
2437,88%,benben10,12508,1.07,32%,1.11,259,268,10%,23%,24%,30%,22%
2435,88%,Firespiter,972,1.07,24%,0.82,261,268,4%,16%,63%,13%,1%
2432,88%,Nix05281,1270,1.04,30%,1,249,268,13%,67%,18%,4%,4%
2416,88%,charbdys [OP-4],14706,1.06,30%,1.26,248,268.1,31%,19%,26%,19%,34%
2406,88%,NeoWave,1988,1.05,29%,1.22,256,268.2,13%,55%,12%,12%,19%
2404,88%,Crazyindianjoe,15374,1.04,28%,0.83,257,268.2,7%,25%,21%,30%,24%
2385,88%,Scribbly Eyes,2007,1.06,28%,1.05,264,268.4,-3%,18%,42%,24%,13%
2382,88%,InTeaM Drake,2235,0.99,32%,0.84,261,268.5,15%,11%,24%,38%,18%
2338,88%,Commander64o,1735,1.09,31%,1.32,267,268.8,12%,19%,17%,9%,47%
2316,88%,Kiwimancer,2407,1.12,40%,1.35,271,269.1,6%,8%,13%,39%,34%
2295,88%,Xoury [MGSq],9783,1.16,30%,1.47,265,269.4,10%,3%,76%,9%,9%
2252,89%,Bennyhanuh,962,1.08,29%,1.25,268,269.9,-7%,24%,23%,22%,28%
2224,89%,snakemanjon [WMK],5149,0.97,27%,0.91,266,270.1,22%,11%,24%,51%,12%
2211,89%,Makerie [256],6242,1,31%,0.97,264,270.3,,19%,14%,44%,18%
2172,89%,Crashburn [D4VE],9967,1.11,38%,1.43,270,270.7,-10%,31%,28%,26%,12%
2171,89%,The Blood Eagle [EYRI],11658,1.19,26%,1.24,273,270.7,-5%,15%,26%,14%,43%
2160,89%,SwiftKiller512,1506,0.96,35%,0.95,265,270.8,12%,23%,23%,35%,7%
2107,89%,TristarInvader,1495,1.06,36%,1.36,266,271.6,6%,26%,39%,21%,11%
2079,89%,FoPhoenix [SBRS],7933,1.03,30%,0.97,272,271.9,,7%,6%,34%,51%
2069,89%,RayRazor [BTD],12090,1.18,36%,1.22,261,272,30%,9%,22%,28%,38%
2066,89%,sunm,6396,0.95,34%,1.29,267,272.1,10%,25%,20%,29%,26%
2065,90%,weaver [BPL],3434,0.91,27%,1.18,267,272.1,13%,21%,29%,27%,14%
2053,90%,Chromentia,2356,1.09,30%,1.07,269,272.2,17%,19%,24%,24%,25%
2030,90%,QuestingKnight,3139,1.11,31%,1.2,275,272.6,,12%,22%,27%,39%
1976,90%,Jhebbal [FJRD],1417,1.15,48%,1.87,265,273.1,2%,42%,22%,15%,15%
1961,90%,rowtuh [2d20],7296,1.12,33%,1.3,269,273.5,,19%,20%,27%,32%
1911,90%,enblom50,2947,0.87,34%,1.13,264,274.1,7%,31%,46%,15%,5%
1895,90%,Zardas,6747,1.11,38%,1.49,274,274.3,1%,11%,16%,33%,38%
1800,91%,EyeSeaHue,1987,1.11,32%,1.23,271,275.6,-2%,26%,19%,35%,18%
1772,91%,weaselslider [SRoT],6196,1.01,34%,1.06,266,276.1,3%,24%,66%,4%,3%
1761,91%,Perichrone,16882,1.28,21%,0.78,267,276.3,26%,12%,21%,52%,14%
1745,91%,Cla [KCom],3553,1.45,44%,1.71,287,276.6,-15%,16%,35%,34%,3%
1744,91%,DuskCanine4 [MGSq],2478,1.06,28%,1.07,271,276.6,,29%,12%,23%,25%
1739,91%,Umbraldancer,9644,1.18,29%,1.22,271,276.7,10%,22%,18%,20%,37%
1713,91%,Almighty Pickle,2381,1.18,36%,1.48,277,277.2,-11%,14%,14%,26%,36%
1699,91%,CatznDogz [BYCB],14130,1.24,39%,1.2,262,277.4,-6%,17%,21%,22%,39%
1675,91%,SirArminius,12875,0.83,29%,1.03,263,277.9,4%,39%,27%,20%,13%
1656,92%,Plato J [2d20],6593,1.1,32%,0.96,276,278.2,9%,8%,17%,32%,38%
1635,92%,Resting_Cthulhu,1462,0.9,33%,1.02,273,278.4,-27%,19%,42%,33%,2%
1633,92%,halflen,1323,1.04,33%,1.25,273,278.5,22%,24%,21%,19%,27%
1580,92%,Ruta,2479,1.17,35%,1.03,260,279.5,1%,75%,24%,1%,0%
1577,92%,Stomps McStomperton,666,0.92,32%,1.55,286,279.5,8%,5%,9%,21%,26%
1517,92%,DeliiT,850,1.07,35%,1.16,281,280.4,-3%,10%,21%,45%,20%
1496,92%,Fayehilt,2066,1.01,27%,1.2,274,280.8,1%,27%,27%,32%,5%
1492,92%,thearticulategrunt [WMK],7698,0.88,29%,1.09,268,280.8,13%,8%,7%,25%,50%
1482,92%,Pickle1313 [BP],6524,0.84,31%,1.52,252,281,20%,82%,3%,4%,6%
1449,93%,Brenta [CDU],4660,0.96,31%,1.44,272,281.8,16%,50%,10%,10%,22%
1429,93%,FiveDay [CR1T],8701,0.99,31%,1.05,267,282.4,26%,30%,33%,23%,10%
1372,93%,Duck9834,2002,1.18,33%,1.18,280,283.4,-5%,20%,42%,24%,4%
1362,93%,Carlson [SRoT],6543,1.29,44%,1.85,295,283.5,-1%,1%,16%,61%,13%
1306,93%,CursedApophis [BP],790,1.05,29%,1.12,274,284.9,7%,41%,6%,34%,6%
1295,93%,Spyder Cochon,9988,1.31,41%,1.9,326,285.2,-11%,27%,39%,26%,7%
1292,93%,Klappspaten,3609,1.14,31%,1.24,273,285.2,,11%,27%,33%,19%
1275,94%,Kingjohnjr,941,1.08,28%,1.47,281,285.8,4%,13%,4%,23%,48%
1252,94%,Wobbly [ARMD],7709,1.32,37%,1.3,278,286.3,29%,2%,16%,46%,30%
1212,94%,Snowlulz,2711,0.99,32%,1.19,283,287.5,22%,11%,34%,45%,9%
1207,94%,ChairGlue [MGSq],15024,1.12,36%,1.15,283,287.6,16%,19%,29%,26%,26%
1189,94%,theman265 [SRoT],1485,0.84,31%,0.99,210,288.1,,34%,21%,25%,9%
1178,94%,Nuisancebeast [BP],2833,0.97,31%,1.08,263,288.4,10%,85%,8%,2%,0%
1159,94%,Rofyu [SBRS],6912,1.04,33%,1.21,280,289,27%,23%,24%,24%,26%
1150,94%,Papaspud [SRoT],34660,1.03,28%,1.11,282,289.1,2%,17%,25%,43%,14%
1139,94%,Monsoon Cloudburst [256],26998,1.04,25%,1.01,284,289.3,,5%,19%,35%,40%
1074,95%,Threee [OP-4],3205,1.28,35%,1.45,281,291.3,5%,45%,22%,9%,17%
1062,95%,Mister Lizard,2145,1.15,28%,1.42,293,291.8,4%,4%,12%,19%,58%
1040,95%,T4Quad,2650,1.25,29%,1.11,297,292.5,24%,6%,4%,10%,76%
1033,95%,Majorchaos [BTD],3295,1.25,43%,1.59,279,292.9,6%,26%,40%,26%,2%
1025,95%,Azur le Sylvestre,35392,1.02,34%,1.22,286,293.2,27%,10%,30%,24%,35%
1023,95%,T H E G W I Z,1544,1.1,33%,1.15,296,293.2,5%,3%,22%,39%,31%
985,95%,Zloi strelok [MW-F],20840,1.35,35%,1.35,297,294.4,2%,15%,23%,32%,28%
979,95.03%,Sargent Sunar,1006,1.21,35%,1.7,291,294.6,4%,25%,34%,15%,22%
928,95.29%,Sarahndipity [2d20],990,1.47,30%,1.26,280,296.2,,57%,11%,17%,10%
924,95.31%,Miriage [C-XF],6706,1.24,38%,1.42,283,296.4,56%,19%,27%,33%,18%
910,95.38%,CaptainRexx [ICOB],3589,1.03,30%,1.37,243,297.3,,17%,12%,24%,34%
899,95.43%,EV DTA-187 [228H],9732,1.11,30%,1.09,288,297.5,35%,22%,16%,17%,45%
891,95.47%,under cover,2410,1.03,34%,1.71,280,297.9,21%,35%,20%,18%,16%
870,95.58%,TomatoTyson,3062,1.11,32%,1.26,296,298.6,,12%,26%,35%,24%
862,95.62%,Jormangunder,5860,1.49,36%,1.22,292,298.8,,8%,13%,29%,44%
840,95.73%,JiyuuJisatsu,3779,1.07,39%,1.42,287,299.6,35%,36%,20%,21%,19%
824,95.81%,FCVanillaICE,6384,1.26,42%,1.79,303,300.3,2%,7%,16%,25%,51%
803,95.92%,JintoLengley [MW-F],19820,1.21,34%,1.29,283,301,19%,10%,25%,22%,41%
790,95.99%,Gryphon Space [228],7348,1.66,30%,1.32,299,301.7,19%,2%,4%,27%,64%
784,96.02%,Numeritor,16040,1.18,37%,1.4,292,302,19%,23%,27%,30%,20%
767,96.10%,CanadianCyrus [2d20],5008,1.24,36%,1.15,300,302.8,3%,13%,23%,34%,26%
752,96.18%,GrillSquad [(ME)],4876,1.72,40%,1.31,296,303.4,11%,16%,15%,31%,33%
743,96.23%,scyter98 [256],6438,1.13,26%,0.96,287,303.7,19%,34%,17%,24%,22%
725,96.32%,Therax [-SA-],8795,1.39,35%,1.3,298,304.3,16%,11%,23%,39%,22%
701,96.44%,AtomCore [FJRD],5212,1.15,33%,1.75,303,305.6,,7%,19%,37%,33%
700,96.44%,The Legend of Kelda [AW],6624,1.41,29%,1.2,311,305.6,19%,3%,20%,39%,34%
699,96.45%,DasMeenLeem,2153,1.17,37%,1.24,310,305.7,26%,0%,4%,28%,60%
684,96.53%,Air Rifle77,13938,1.07,23%,1.27,287,307,22%,21%,18%,20%,39%
664,96.63%,EOD DEMO,7926,1.08,31%,1.01,294,308.1,20%,16%,28%,34%,20%
657,96.66%,Val Arin [ROZE],18682,1.12,31%,1.13,296,308.5,6%,20%,20%,31%,29%
654,96.68%,Leonitas,17006,1.3,37%,1.33,282,308.6,,20%,40%,28%,11%
647,96.71%,Tonu,1008,1.18,38%,1.4,306,309.1,,20%,25%,30%,18%
646,96.72%,Kastarion,17620,1.31,33%,1.44,298,309.1,5%,17%,17%,31%,34%
640,96.75%,ghostrider [OP-4],6474,1.17,34%,1.31,291,309.4,33%,18%,26%,32%,19%
613,96.89%,Fire Ant [228R],3524,1.24,42%,1.69,289,311,26%,41%,22%,17%,10%
611,96.90%,Artemus Prime,6031,1.21,34%,1.22,287,311.1,42%,17%,24%,25%,31%
602,96.94%,night of fire [C-XF],3554,1.86,41%,1.61,309,311.8,0%,16%,19%,23%,39%
597,96.97%,Towarzysz [-EQ-],5999,1.29,38%,1.66,301,311.9,27%,8%,17%,30%,38%
595,96.98%,WayOwenZ [OP-4],14373,1.23,38%,1.41,291,312.1,16%,48%,24%,17%,10%
592,96.99%,SecondSystem,3640,1.24,40%,1.77,314,312.3,2%,20%,23%,31%,24%
562,97.15%,Rosarius [228H],6445,1.28,35%,1.35,303,314.1,34%,11%,21%,24%,35%
541,97.25%,Vixellet,6165,1.08,39%,2.04,314,315.6,-11%,12%,24%,35%,27%
532,97.30%,Rabbid0Squirrel [(ME)],6727,1.41,42%,1.98,299,316.2,18%,34%,21%,23%,19%
530,97.31%,Itsalrightwithme [-SA-],13126,1.31,48%,1.89,310,316.3,8%,12%,22%,34%,31%
525,97.33%,Lord Phills [228H],4998,1.45,38%,1.87,286,316.8,30%,70%,3%,18%,4%
518,97.37%,Hun Yang,4631,1.19,33%,1.46,309,317.6,20%,10%,10%,29%,47%
514,97.39%,Slough Feg-Lo-Wang [-42-],3825,1.18,42%,1.65,315,317.9,-2%,8%,45%,35%,7%
504,97.44%,Samziel,7748,1.28,31%,1.26,308,318.5,30%,16%,23%,28%,30%
502,97.45%,Hunter Tseng [C-XF],9676,1.54,46%,2.48,371,318.6,-7%,5%,9%,26%,58%
496,97.48%,Dubious Squirrel [CSPS],23683,1.23,36%,1.34,295,318.9,8%,29%,30%,25%,15%
491,97.51%,Linksrevenge [CSPS],12683,1.35,40%,1.81,307,319.3,31%,9%,10%,46%,32%
490,97.51%,Winters Rigor,3374,1.79,49%,1.9,330,319.3,-4%,4%,3%,21%,67%
477,97.58%,redbearin [228R],5430,1.54,42%,1.73,315,320,-3%,11%,5%,34%,46%
471,97.61%,PinkyFeldman [228R],10417,1.24,41%,1.63,321,320.4,8%,4%,4%,11%,79%
450,97.72%,JimmyWithAnE,5148,1.24,35%,1.59,293,322.7,27%,60%,17%,9%,6%
446,97.74%,Eluzian [OP-4],10842,1.2,37%,1.45,302,323.2,36%,14%,23%,37%,23%
435,97.79%,Asuka Langley Best Grill,2254,1.39,43%,2.06,322,324.1,2%,23%,15%,26%,36%
434,97.80%,DClouds,10239,1.15,37%,1.59,296,324.2,19%,54%,25%,10%,10%
426,97.84%,Verradin,3724,1.33,36%,1.19,317,324.7,22%,23%,29%,27%,18%
420,97.87%,Arthen00 [FJRD],10829,1.3,32%,1.24,284,325.1,,8%,31%,27%,30%
